LREN3,RADL3,MGLU3,VIIA3,AMER3
34.92,11.11,5.77,4.38,41.92
34.48,11.08,5.71,4.31,42.35
33.16,11.24,5.54,4.27,40.95
32.39,10.99,5.62,4.24,39.13
33.44,11.39,5.58,4.04,40.95
34.16,11.97,5.5600000000000005,4.01,43.66
34.21,12.44,5.61,4.42,45.34
33.45,12.54,5.51,4.51,43.95
32.84,12.49,5.55,4.82,44.46
32.72,12.68,5.49,4.98,45.09
33.44,12.57,5.43,5.05,46.71
34.68,12.34,5.41,4.93,45.58
35.16,12.41,5.4,4.88,44.85
34.48,12.22,5.18,4.8,43.39
34.0,12.04,5.03,4.93,42.89
34.63,12.12,5.26,5.16,43.34
35.63,12.2,5.2,5.49,44.47
36.3,12.75,5.19,5.35,44.82
36.56,12.36,5.53,5.67,46.6
36.42,12.21,5.47,5.77,46.91
36.48,12.14,5.5600000000000005,6.0,48.75
36.61,12.23,5.55,5.96,45.86
36.88,12.24,5.49,5.99,45.97
36.46,12.01,5.45,5.79,44.1
34.65,11.7,5.27,5.29,42.62
34.76,11.8,5.18,5.45,42.28
34.88,11.8,5.27,5.5600000000000005,43.13
34.48,11.61,5.13,5.52,42.52
35.81,11.61,5.11,5.5600000000000005,44.48
34.88,11.37,5.0,5.45,44.46
35.81,11.51,5.3,5.45,45.54
35.4,11.46,5.09,5.28,45.4
35.47,11.28,5.23,5.47,45.51
35.76,11.6,5.26,5.28,45.59
34.8,11.39,5.04,5.21,43.14
34.72,11.55,5.0,4.67,42.43
35.84,11.62,5.52,4.72,44.55
35.59,11.56,5.39,4.97,45.28
35.6,11.94,5.54,4.77,45.18
35.32,12.83,5.46,4.64,46.31
34.7,12.81,5.38,4.58,46.35
34.74,12.51,5.44,4.54,47.27
34.87,12.37,5.32,4.39,46.47
34.33,12.3,5.5,4.41,46.04
35.17,13.08,5.61,4.68,47.84
36.59,13.12,5.66,4.76,48.4
36.2,13.14,5.55,4.84,45.92
35.57,13.73,5.5,4.62,44.37
35.44,13.52,5.48,4.64,45.68
35.27,13.45,5.5,4.54,45.01
35.75,13.3,5.6,4.59,46.56
35.63,13.42,5.61,4.64,47.84
35.28,12.93,5.64,4.58,47.84
34.53,13.03,5.65,4.55,44.82
34.26,13.01,5.38,4.33,40.75
33.76,12.75,5.37,4.33,39.49
33.99,12.96,5.48,4.36,40.47
32.94,12.63,5.21,4.11,37.54
33.98,12.76,5.3,4.18,39.75
35.19,12.82,5.36,4.22,40.48
35.27,12.67,5.32,4.27,40.27
34.76,12.89,5.16,4.55,39.59
34.7,12.86,5.25,4.38,39.16
35.35,13.22,5.24,4.38,39.38
35.35,13.52,5.27,4.53,39.5
34.39,13.35,5.17,4.37,37.53
34.17,13.21,5.16,4.34,36.43
34.29,13.06,5.23,4.31,35.14
33.66,12.96,5.15,4.29,37.01
33.39,12.96,5.11,4.16,36.05
33.18,12.93,5.07,4.15,35.41
33.16,13.11,5.06,4.01,34.11
32.85,12.71,4.97,3.92,34.78
34.56,12.78,5.31,3.95,36.34
35.31,12.96,5.2,3.84,35.57
35.31,13.15,5.32,3.93,37.52
35.02,13.08,5.36,3.93,36.1
37.05,13.34,5.44,4.02,35.61
37.37,13.3,5.5600000000000005,4.03,35.72
37.62,13.4,5.55,4.12,36.06
37.88,13.57,5.95,4.1,36.67
36.94,13.56,5.93,4.14,35.28
36.71,13.6,6.1,4.52,36.55
36.42,13.46,6.23,4.5600000000000005,37.2
36.65,13.35,5.98,4.72,35.55
37.5,13.57,6.02,4.53,35.86
36.53,13.42,5.78,4.74,34.66
36.8,13.36,5.8,4.61,32.4
35.96,13.26,5.6,4.73,30.97
35.6,13.26,5.54,4.55,30.68
36.19,13.02,5.38,4.3,31.0
