,index,carat,cut,color,clarity,depth,table,price,x,y,z
0,0,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
1,1,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2,3,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
3,11,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
4,12,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
5,13,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
6,14,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
7,15,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
8,16,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
9,26,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
10,39,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78
11,40,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
12,41,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76
13,45,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65
14,51,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44
15,52,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
16,53,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41
17,54,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
18,55,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63
19,56,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61
20,60,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78
21,61,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
22,62,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69
23,63,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68
24,64,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
25,65,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58
26,66,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73
27,68,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
28,69,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44
29,72,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68
30,73,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67
31,82,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54
32,83,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87
33,85,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45
34,86,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44
35,87,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44
36,88,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46
37,89,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73
38,90,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57
39,92,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5
40,99,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66
41,101,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58
42,102,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59
43,103,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59
44,104,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72
45,105,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63
46,106,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69
47,107,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61
48,108,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6
49,109,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35
50,110,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67
51,111,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62
52,112,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87
53,114,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6
54,115,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62
55,116,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68
56,117,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58
57,118,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49
58,119,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62
59,120,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56
60,121,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62
61,125,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46
62,126,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7
63,130,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64
64,132,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53
65,135,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37
66,137,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53
67,138,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61
68,139,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43
69,140,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51
70,141,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5
71,144,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54
72,149,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5
73,150,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51
74,151,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57
75,152,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52
76,153,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56
77,155,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62
78,156,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51
79,157,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55
80,158,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55
81,159,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54
82,160,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49
83,163,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56
84,164,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68
85,167,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33
86,168,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3
87,170,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6
88,171,0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38
89,173,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35
90,174,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58
91,178,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58
92,179,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55
93,180,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24
94,181,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23
95,182,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55
96,183,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53
97,185,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5
98,187,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53
99,191,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53
100,192,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47
101,193,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46
102,194,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49
103,195,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54
104,196,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48
105,197,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51
106,198,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52
107,199,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56
108,201,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49
109,202,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48
110,205,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63
111,207,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19
112,209,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59
113,211,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62
114,212,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54
115,213,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59
116,214,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49
117,215,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94
118,216,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
119,217,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64
120,220,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63
121,222,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51
122,224,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5
123,225,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58
124,226,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56
125,228,0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6
126,229,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21
127,233,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18
128,234,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41
129,237,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62
130,240,0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55
131,242,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93
132,245,0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58
133,246,0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61
134,248,0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69
135,249,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53
136,250,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22
137,252,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38
138,253,0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37
139,254,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61
140,256,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41
141,257,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51
142,258,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76
143,259,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46
144,260,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53
145,262,0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58
146,263,0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46
147,264,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54
148,265,0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52
149,266,0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53
150,267,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5
151,268,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51
152,269,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55
153,273,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61
154,274,0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6
155,277,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64
156,278,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72
157,280,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54
158,281,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6
159,282,0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57
160,283,0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58
161,284,1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83
162,288,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57
163,289,0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52
164,290,0.71,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52
165,291,0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31
166,292,0.51,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17
167,293,0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55
168,294,0.74,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58
169,295,0.74,Ideal,H,VS1,61.6,56.0,2797,5.81,5.82,3.58
170,297,0.8,Premium,F,SI2,61.0,57.0,2797,6.03,6.01,3.67
171,300,0.77,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62
172,302,0.82,Ideal,F,SI2,62.4,54.0,2799,5.97,6.02,3.74
173,303,0.78,Ideal,D,SI1,61.9,57.0,2799,5.91,5.86,3.64
174,306,0.7,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5
175,308,0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76
176,309,0.83,Ideal,G,SI1,61.8,57.0,2800,6.03,6.07,3.74
177,311,0.74,Premium,G,VS1,62.9,60.0,2800,5.74,5.68,3.59
178,312,0.79,Ideal,I,VS1,61.8,59.0,2800,5.92,5.95,3.67
179,313,0.61,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39
180,315,0.96,Ideal,F,I1,60.7,55.0,2801,6.37,6.41,3.88
181,316,0.73,Ideal,F,VS2,62.5,55.0,2801,5.8,5.76,3.61
182,317,0.73,Premium,F,VS2,62.7,58.0,2801,5.76,5.7,3.59
183,318,0.75,Ideal,H,SI1,60.4,57.0,2801,5.93,5.96,3.59
184,319,0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53
185,322,0.71,Premium,F,VS2,62.8,57.0,2801,5.69,5.64,3.56
186,323,1.04,Premium,G,I1,62.2,58.0,2801,6.46,6.41,4.0
187,324,1.0,Premium,J,SI2,62.3,58.0,2801,6.45,6.34,3.98
188,326,0.53,Ideal,F,IF,61.9,54.0,2802,5.22,5.25,3.24
189,327,0.72,Premium,E,VS2,63.0,55.0,2802,5.79,5.61,3.59
190,328,0.72,Premium,F,VS1,62.4,58.0,2802,5.83,5.7,3.6
191,331,0.71,Ideal,G,VS2,61.3,56.0,2803,5.75,5.71,3.51
192,332,0.73,Ideal,E,SI1,60.6,54.0,2803,5.84,5.89,3.55
193,334,0.71,Premium,F,VS2,62.6,58.0,2803,5.7,5.67,3.56
194,335,0.71,Premium,F,VS2,58.0,62.0,2803,5.85,5.81,3.38
195,336,0.71,Premium,G,VS1,62.4,61.0,2803,5.7,5.65,3.54
196,337,0.77,Premium,G,VS2,61.3,57.0,2803,5.93,5.88,3.62
197,338,0.71,Premium,G,VS2,59.9,60.0,2803,5.81,5.77,3.47
198,339,0.78,Premium,G,VS2,60.8,58.0,2803,6.03,5.95,3.64
199,341,0.91,Ideal,D,SI2,62.2,57.0,2803,6.21,6.15,3.85
200,346,0.72,Ideal,F,VS1,61.7,57.0,2804,5.74,5.77,3.55
201,348,0.82,Ideal,H,VS2,61.5,56.0,2804,6.01,6.08,3.72
202,349,0.7,Ideal,D,SI1,61.0,59.0,2804,5.68,5.7,3.47
203,350,0.72,Ideal,D,SI1,62.2,56.0,2804,5.74,5.77,3.58
204,351,0.72,Ideal,D,SI1,61.5,54.0,2804,5.77,5.8,3.56
205,353,0.74,Premium,F,VS2,61.7,58.0,2805,5.85,5.78,3.59
206,354,0.74,Premium,F,VS2,61.9,56.0,2805,5.8,5.77,3.58
207,355,0.73,Ideal,E,SI2,61.8,58.0,2805,5.77,5.81,3.58
208,357,0.73,Premium,F,VS2,62.5,57.0,2805,5.75,5.7,3.58
209,358,0.72,Ideal,G,VS2,62.8,56.0,2805,5.74,5.7,3.59
210,363,0.7,Ideal,F,SI1,61.6,55.0,2806,5.72,5.74,3.53
211,366,0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84
212,371,0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3
213,374,0.81,Premium,D,SI2,59.2,57.0,2809,6.15,6.05,3.61
214,375,0.71,Premium,F,SI1,60.7,54.0,2809,5.84,5.8,3.53
215,379,0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6
216,390,0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73
217,391,0.32,Premium,I,SI1,62.8,58.0,554,4.39,4.34,2.74
218,392,0.32,Ideal,I,SI1,62.4,57.0,554,4.37,4.35,2.72
219,393,0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67
220,395,0.32,Ideal,I,SI1,60.7,57.0,554,4.47,4.42,2.7
221,396,0.3,Premium,H,SI1,60.9,59.0,554,4.31,4.29,2.62
222,397,0.3,Premium,H,SI1,60.1,55.0,554,4.41,4.38,2.64
223,398,0.3,Premium,H,SI1,62.9,58.0,554,4.28,4.24,2.68
224,401,0.3,Ideal,H,SI1,62.9,57.0,554,4.27,4.22,2.67
225,404,0.33,Ideal,H,SI2,61.4,56.0,554,4.85,4.79,2.95
226,408,0.34,Ideal,H,VS2,61.5,56.0,555,4.47,4.5,2.76
227,409,0.34,Ideal,H,VS2,60.4,57.0,555,4.54,4.57,2.75
228,410,0.34,Ideal,I,VS1,61.8,55.0,555,4.48,4.52,2.78
229,411,0.34,Ideal,I,VS1,62.0,56.0,555,4.5,4.53,2.8
230,412,0.3,Ideal,G,VS1,62.3,56.0,555,4.29,4.31,2.68
231,413,0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64
232,414,0.35,Ideal,G,SI1,60.6,56.0,555,4.56,4.58,2.77
233,417,0.36,Ideal,I,VS2,61.9,56.0,556,4.54,4.57,2.82
234,418,0.3,Ideal,G,VS2,62.0,56.0,556,4.28,4.3,2.66
235,419,0.26,Ideal,E,VS1,61.5,57.0,556,4.09,4.12,2.52
236,422,0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56
237,424,0.73,Premium,E,VS2,58.6,60.0,2812,5.92,5.89,3.46
238,425,0.51,Ideal,F,VVS1,62.0,57.0,2812,5.15,5.11,3.18
239,426,0.91,Premium,G,SI2,59.8,58.0,2813,6.3,6.29,3.77
240,429,0.76,Premium,E,SI1,62.2,59.0,2814,5.86,5.81,3.63
241,430,0.76,Ideal,E,SI1,61.7,57.0,2814,5.88,5.85,3.62
242,431,0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57
243,434,0.74,Premium,G,VS1,61.7,58.0,2815,5.79,5.81,3.58
244,435,0.7,Ideal,H,SI1,60.4,56.0,2815,5.75,5.81,3.49
245,436,0.7,Ideal,H,SI1,61.4,56.0,2815,5.7,5.76,3.52
246,437,0.7,Ideal,H,SI1,61.5,55.0,2815,5.73,5.79,3.54
247,438,0.7,Ideal,H,SI1,61.4,56.0,2815,5.72,5.77,3.53
248,441,0.89,Premium,H,SI2,60.2,59.0,2815,6.26,6.23,3.76
249,442,0.72,Premium,E,VS2,58.3,58.0,2815,5.99,5.92,3.47
250,444,1.02,Premium,G,I1,60.3,58.0,2815,6.55,6.5,3.94
251,446,0.61,Ideal,G,VVS2,60.1,57.0,2816,5.52,5.54,3.32
252,448,0.78,Premium,F,SI1,61.5,59.0,2816,5.96,5.88,3.64
253,449,0.87,Ideal,H,SI2,62.7,56.0,2816,6.16,6.13,3.85
254,450,0.83,Ideal,H,SI1,62.5,55.0,2816,6.04,6.0,3.76
255,451,0.71,Premium,E,SI1,61.3,56.0,2817,5.78,5.73,3.53
256,452,0.71,Ideal,I,VVS2,60.2,56.0,2817,5.84,5.89,3.53
257,453,0.71,Ideal,E,VS2,62.7,57.0,2817,5.66,5.64,3.54
258,454,0.71,Premium,E,VS2,62.3,58.0,2817,5.69,5.65,3.53
259,455,0.63,Ideal,F,VVS2,61.5,56.0,2817,5.48,5.52,3.38
260,456,0.71,Premium,E,SI1,59.2,59.0,2817,5.86,5.83,3.46
261,457,0.71,Premium,E,SI1,61.8,59.0,2817,5.75,5.7,3.54
262,458,0.71,Ideal,E,SI1,61.3,55.0,2817,5.77,5.72,3.52
263,459,0.71,Premium,E,SI1,61.4,58.0,2817,5.77,5.73,3.53
264,460,0.9,Ideal,J,VS2,62.8,55.0,2817,6.2,6.16,3.88
265,462,0.7,Premium,E,VS2,62.4,61.0,2818,5.66,5.63,3.52
266,463,0.7,Premium,E,VS2,59.3,60.0,2818,5.78,5.73,3.41
267,464,0.7,Premium,E,VS2,63.0,60.0,2818,5.64,5.6,3.54
268,465,1.0,Premium,H,I1,61.3,60.0,2818,6.43,6.39,3.93
269,466,0.86,Premium,F,SI2,59.3,62.0,2818,6.36,6.22,3.73
270,467,0.8,Ideal,H,SI1,61.0,57.0,2818,6.07,6.0,3.68
271,468,0.7,Ideal,E,VS1,62.9,57.0,2818,5.66,5.61,3.54
272,469,0.7,Premium,E,VS1,59.6,57.0,2818,5.91,5.83,3.5
273,470,0.7,Premium,F,VS2,61.8,60.0,2818,5.69,5.64,3.5
274,471,0.7,Premium,E,VS1,62.7,57.0,2818,5.68,5.64,3.55
275,474,0.72,Ideal,H,VS1,62.3,56.0,2819,5.73,5.77,3.58
276,477,0.71,Ideal,G,VS1,62.9,58.0,2820,5.66,5.69,3.57
277,478,0.75,Ideal,E,SI1,62.0,57.0,2821,5.8,5.78,3.59
278,479,0.73,Premium,E,VS2,61.6,59.0,2821,5.77,5.73,3.54
279,480,0.53,Ideal,E,VVS1,61.9,55.0,2821,5.2,5.21,3.22
280,481,0.73,Premium,E,SI1,61.3,58.0,2821,5.83,5.76,3.55
281,483,0.73,Premium,E,SI1,59.6,61.0,2821,5.92,5.85,3.51
282,484,0.73,Premium,E,SI1,62.2,59.0,2821,5.77,5.68,3.56
283,485,0.73,Premium,D,SI1,61.7,55.0,2821,5.84,5.82,3.6
284,487,0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48
285,488,0.72,Premium,E,VS2,60.3,59.0,2822,5.84,5.8,3.51
286,489,0.72,Premium,E,VS2,60.9,60.0,2822,5.8,5.76,3.52
287,490,0.72,Premium,E,VS2,62.4,59.0,2822,5.77,5.7,3.58
288,491,0.7,Premium,E,VS2,60.2,60.0,2822,5.73,5.7,3.44
289,492,0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34
290,493,0.74,Ideal,I,VVS1,60.8,57.0,2822,5.85,5.89,3.57
291,494,0.73,Ideal,F,SI1,62.1,55.0,2822,5.75,5.78,3.58
292,495,0.71,Premium,D,SI1,62.7,60.0,2822,5.71,5.67,3.57
293,496,0.71,Premium,D,SI1,61.3,58.0,2822,5.75,5.73,3.52
294,497,0.7,Premium,D,SI1,60.2,60.0,2822,5.82,5.75,3.48
295,498,0.7,Ideal,D,SI1,60.7,56.0,2822,5.75,5.72,3.48
296,500,0.71,Ideal,D,SI1,60.2,56.0,2822,5.86,5.83,3.52
297,501,0.7,Premium,E,VS2,61.5,59.0,2822,5.73,5.68,3.51
298,502,0.7,Premium,E,VS2,62.6,56.0,2822,5.71,5.66,3.56
299,503,0.7,Ideal,D,SI1,59.7,58.0,2822,5.82,5.77,3.46
300,505,0.7,Ideal,D,SI1,62.5,57.0,2822,5.62,5.59,3.51
301,506,0.7,Ideal,D,SI1,61.8,56.0,2822,5.73,5.63,3.51
302,507,0.7,Premium,E,VS2,60.7,62.0,2822,5.72,5.68,3.46
303,508,0.7,Premium,F,VS2,60.6,58.0,2822,5.8,5.72,3.49
304,509,0.7,Ideal,D,SI1,61.4,54.0,2822,5.75,5.71,3.52
305,512,0.71,Premium,E,VS2,62.3,58.0,2823,5.71,5.66,3.54
306,513,0.61,Ideal,E,VVS2,61.3,54.0,2823,5.51,5.59,3.4
307,515,0.71,Ideal,E,SI1,60.5,56.0,2823,5.77,5.73,3.47
308,516,0.71,Premium,D,VS2,61.2,59.0,2824,5.74,5.69,3.5
309,517,0.77,Ideal,I,VVS2,62.1,57.0,2824,5.84,5.86,3.63
310,519,0.82,Ideal,F,SI2,62.4,54.0,2824,6.02,5.97,3.74
311,520,0.82,Premium,E,SI2,60.8,60.0,2824,6.05,6.03,3.67
312,521,0.71,Premium,G,VS1,62.2,59.0,2825,5.73,5.66,3.54
313,522,0.83,Premium,H,SI1,60.0,59.0,2825,6.08,6.05,3.64
314,524,0.83,Premium,H,SI1,62.5,59.0,2825,6.02,5.95,3.74
315,525,1.17,Premium,J,I1,60.2,61.0,2825,6.9,6.83,4.13
316,527,0.73,Premium,E,VS1,62.6,60.0,2826,5.75,5.68,3.58
