MS_Zoning;Lot_Frontage;Lot_Area;Street;Lot_Shape;Utilities;Lot_Config;Neighborhood;House_Style;Overall_Qual;Overall_Cond;Year_Built;Year_Remod_Add;Exterior_1st;Exterior_2nd;Heating;Heating_QC;Central_Air;Electrical;First_Flr_SF;Second_Flr_SF;Low_Qual_Fin_SF;Gr_Liv_Area;Bsmt_Full_Bath;Bsmt_Half_Bath;Full_Bath;Half_Bath;Bedroom_AbvGr;Kitchen_AbvGr;Kitchen_Qual;TotRms_AbvGrd;Fireplaces;Fireplace_Qu;Garage_Type;Garage_Cars;Garage_Area;Garage_Qual;Garage_Cond;Paved_Drive;Mo_Sold;Year_Sold;Sale_Price
Residential_Medium_Density;52;6240;Pave;Regular;AllPub;Inside;Brookside;One_and_Half_Fin;Average;Above_Average;1928;1950;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;1042;534;0;1576;0;0;1;0;3;1;Typical;8;1;Good;Detchd;1;225;Typical;Typical;Paved;8;2006;149000
Residential_Low_Density;77;8335;Pave;Regular;AllPub;Corner;Edwards;One_Story;Average;Average;1954;1954;Wd Sdng;Wd Sdng;GasA;Good;Y;SBrkr;1124;0;0;1124;0;0;1;0;3;1;Typical;5;1;Good;No_Garage;0;0;No_Garage;No_Garage;Dirt_Gravel;4;2006;93000
Residential_Low_Density;65;15426;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;Two_Story;Above_Average;Average;1997;1997;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;928;836;0;1764;1;0;2;1;3;1;Good;7;0;No_Fireplace;Attchd;2;470;Typical;Typical;Paved;8;2009;231500
Residential_Low_Density;60;21930;Pave;Irregular;AllPub;Inside;Gilbert;Two_Story;Average;Average;2005;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;734;1104;0;1838;0;0;2;1;4;1;Typical;7;1;Good;BuiltIn;2;372;Typical;Typical;Paved;7;2006;192140
Residential_Low_Density;0;9503;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Average;1958;1983;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1344;0;0;1344;1;0;1;0;2;1;Typical;6;1;Typical;Detchd;1;484;Typical;Typical;Paved;6;2007;144000
Residential_Low_Density;60;8400;Pave;Regular;AllPub;Inside;South_and_West_of_Iowa_State_University;One_and_Half_Fin;Above_Average;Average;1925;1950;MetalSd;MetalSd;GasA;Fair;Y;SBrkr;1390;304;0;1694;0;0;2;0;4;1;Typical;7;1;Good;Detchd;2;576;Typical;Typical;Paved;6;2008;136500
Residential_Low_Density;0;15295;Pave;Irregular;AllPub;Corner;College_Creek;Two_Story;Good;Average;1996;2002;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1212;780;0;1992;1;0;2;1;3;1;Good;7;2;Typical;Attchd;2;608;Typical;Typical;Paved;6;2007;211000
Residential_Low_Density;0;8750;Pave;Slightly_Irregular;AllPub;Inside;North_Ames;One_Story;Average;Above_Average;1970;1970;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;1002;0;0;1002;1;0;1;0;3;1;Typical;5;0;No_Fireplace;Detchd;2;902;Typical;Typical;Paved;8;2009;148500
Residential_Low_Density;70;8176;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Above_Average;1958;1992;Wd Sdng;Wd Sdng;GasA;Fair;Y;SBrkr;1056;0;0;1056;1;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;308;Typical;Typical;Paved;8;2007;139000
Residential_Low_Density;0;8398;Pave;Slightly_Irregular;AllPub;Inside;Sawyer;One_Story;Average;Average;1967;1967;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;943;0;0;943;1;0;1;0;2;1;Typical;5;0;No_Fireplace;Detchd;2;528;Typical;Typical;Paved;6;2007;134500
